rank,date,season,name,mlbam,team,opponent,game,game_pk,game_date,game_status,venue,home_away,is_home,pitcher,probable_pitcher,opposing_pitcher,pitcher_mlbam,pitcher_hand,opponent_probable_pitcher,opponent_probable_pitcher_mlbam,team_probable_pitcher,team_probable_pitcher_mlbam,odds,book,implied,score,statcast,barrel_pct,hard_hit_pct,avg_ev,xslg,xwoba,launch_angle,raw_team,raw_game,odds_source_row,weather_boost,weather_match,weather_temp,weather_wind,weather_wind_deg,weather_desc,weather_park,trend,trend_score,hot_score,l5_games,l10_games,l15_games,l5_hr,l10_hr,l15_hr,l5_hits,l10_hits,l5_tb,l10_tb,l5_tbpg,l10_tbpg,l5_hitpg,l10_hitpg,l5_papg,l10_papg,trend_last_game,trend_match_type,pitcher_team,pitcher_status,pitcher_gs,pitcher_ip,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_team_so,pitcher_last3,pitcher_k9,pitcher_bb9,pitcher_hr9,pitcher_attack_score,pitcher_attack_tag,pAtk,pitcher_match_type,park,ballpark,home_team,hr_park_score,parkScore,park_score,park_label,park_note,park_match_type
133,2026-05-13,2026,Jo Adell,,Los Angeles Angels,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,824438,2026-05-13T17:10:00Z,Scheduled,Progressive Field,away,0,Parker Messick,Parker Messick,Parker Messick,800048,L,Parker Messick,800048,Reid Detmers,672282,660,DraftKings,13.16,39.88,missing,,,,,,,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,"{""player"":""Jo Adell"",""player_key"":""jo adell"",""team"":""Los Angeles Angels"",""team_key"":""los angeles angels"",""game"":""Los Angeles Angels @ Cleveland Guardians"",""game_key"":""los angeles angels @ cleveland guardians"",""market"":""HR"",""line"":""0.5"",""odds"":""660"",""book"":""DraftKings"",""consensus_odds"":""603"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+660 | FanDuel:+630 | Caesars:+575 | BetMGM:+550"",""raw_books_seen"":""DraftKings:+660 | FanDuel:+630 | Caesars:+575 | BetMGM:+550 | DraftKings:+660"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Cleveland Guardians,probable,8,47.0,2.30,0.98,3.14,9.64,3.31,9.77,2.11,0.77,12.84,AVOID,12.84,MATCH,Progressive Field,Progressive Field,Cleveland Guardians,47.00,47.00,47.00,NEUTRAL,Neutral to slight suppressor,MATCH
134,2026-05-13,2026,Gunnar Henderson,,Baltimore Orioles,New York Yankees,New York Yankees @ Baltimore Orioles,824841,2026-05-13T17:05:00Z,Scheduled,Oriole Park at Camden Yards,home,1,Max Fried,Max Fried,Max Fried,608331,L,Max Fried,608331,Kyle Bradish,680694,660,DraftKings,13.16,39.88,missing,,,,,,,Baltimore Orioles,New York Yankees @ Baltimore Orioles,"{""player"":""Gunnar Henderson"",""player_key"":""gunnar henderson"",""team"":""Baltimore Orioles"",""team_key"":""baltimore orioles"",""game"":""New York Yankees @ Baltimore Orioles"",""game_key"":""new york yankees @ baltimore orioles"",""market"":""HR"",""line"":""0.5"",""odds"":""660"",""book"":""DraftKings"",""consensus_odds"":""650"",""trusted_books_count"":""3"",""trusted_books"":""DraftKings:+660 | FanDuel:+650 | Caesars:+575"",""raw_books_seen"":""DraftKings:+660 | FanDuel:+650 | Caesars:+575 | DraftKings:+660"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,New York Yankees,probable,9,58.7,2.91,0.95,3.73,9.30,4.15,7.36,2.76,0.15,14.03,AVOID,14.03,MATCH,Camden Yards,Camden Yards,Baltimore Orioles,42.00,42.00,42.00,NEUTRAL,Slight HR suppressor,MATCH
135,2026-05-13,2026,Kody Clemens,,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,home,1,Max Meyer,Max Meyer,Max Meyer,676974,R,Max Meyer,676974,Simeon Woods Richardson,680573,650,BetMGM,13.33,39.80,missing,,,,,,,Minnesota Twins,Miami Marlins @ Minnesota Twins,"{""player"":""Kody Clemens"",""player_key"":""kody clemens"",""team"":""Minnesota Twins"",""team_key"":""minnesota twins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""BetMGM"",""consensus_odds"":""473"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+650 | Caesars:+475 | FanDuel:+470 | DraftKings:+459"",""raw_books_seen"":""BetMGM:+650 | Caesars:+475 | FanDuel:+470 | DraftKings:+459 | BetMGM:+650"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Miami Marlins,probable,8,42.0,2.79,1.10,3.55,8.62,1.06,9.64,3.21,0.43,11.89,AVOID,11.89,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH
136,2026-05-13,2026,Dansby Swanson,,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,824928,2026-05-13T23:15:00Z,Scheduled,Truist Park,away,0,JR Ritchie,JR Ritchie,JR Ritchie,702275,R,JR Ritchie,702275,Shota Imanaga,684007,650,BetMGM,13.33,39.80,missing,,,,,,,Chicago Cubs,Chicago Cubs @ Atlanta Braves,"{""player"":""Dansby Swanson"",""player_key"":""dansby swanson"",""team"":""Chicago Cubs"",""team_key"":""chicago cubs"",""game"":""Chicago Cubs @ Atlanta Braves"",""game_key"":""chicago cubs @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""BetMGM"",""consensus_odds"":""514"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+650 | FanDuel:+520 | DraftKings:+508 | Caesars:+500"",""raw_books_seen"":""BetMGM:+650 | FanDuel:+520 | DraftKings:+508 | Caesars:+500 | BetMGM:+650"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Atlanta Braves,probable,3,17.3,3.63,1.50,6.63,7.69,3.63,6.75,6.23,2.08,78.23,ATTACK,78.23,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH
137,2026-05-13,2026,Brady House,,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Scheduled,Great American Ball Park,away,0,Nick Lodolo,Nick Lodolo,Nick Lodolo,666157,L,Nick Lodolo,666157,Jake Irvin,663623,650,FanDuel,13.33,39.80,missing,,,,,,,Washington Nationals,Washington Nationals @ Cincinnati Reds,"{""player"":""Brady House"",""player_key"":""brady house"",""team"":""Washington Nationals"",""team_key"":""washington nationals"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""FanDuel"",""consensus_odds"":""583"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+650 | DraftKings:+640 | Caesars:+525 | BetMGM:+500"",""raw_books_seen"":""FanDuel:+650 | DraftKings:+640 | Caesars:+525 | BetMGM:+500 | FanDuel:+650"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Cincinnati Reds,probable,1,5.3,6.75,1.13,6.15,8.28,6.75,3.38,1.69,3.38,77.17,ATTACK,77.17,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH
138,2026-05-13,2026,Connor Norby,,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,away,0,Simeon Woods Richardson,Simeon Woods Richardson,Simeon Woods Richardson,680573,R,Simeon Woods Richardson,680573,Max Meyer,676974,650,BetMGM,13.33,39.80,missing,,,,,,,Miami Marlins,Miami Marlins @ Minnesota Twins,"{""player"":""Connor Norby"",""player_key"":""connor norby"",""team"":""Miami Marlins"",""team_key"":""miami marlins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""BetMGM"",""consensus_odds"":""583"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+650 | FanDuel:+590 | Caesars:+575 | DraftKings:+564"",""raw_books_seen"":""BetMGM:+650 | FanDuel:+590 | Caesars:+575 | DraftKings:+564 | BetMGM:+650"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Minnesota Twins,probable,8,39.0,6.92,1.72,6.60,8.22,8.78,4.38,3.69,1.85,93.63,ATTACK,93.63,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH
139,2026-05-13,2026,Jordan Walker,,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,825010,2026-05-14T01:40:00Z,Scheduled,Sutter Health Park,away,0,J.T. Ginn,J.T. Ginn,J.T. Ginn,669372,R,J.T. Ginn,669372,Matthew Liberatore,669461,650,BetMGM,13.33,39.80,missing,,,,,,,St. Louis Cardinals,St. Louis Cardinals @ Athletics,"{""player"":""Jordan Walker"",""player_key"":""jordan walker"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""St. Louis Cardinals @ Athletics"",""game_key"":""st louis cardinals @ athletics"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""BetMGM"",""consensus_odds"":""593"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+650 | DraftKings:+610 | Caesars:+575 | FanDuel:+540"",""raw_books_seen"":""BetMGM:+650 | DraftKings:+610 | Caesars:+575 | FanDuel:+540 | BetMGM:+375 | DraftKings:+370 | FanDuel:+370 | Caesars:+350 | BetMGM:+650"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Athletics,probable,6,37.3,3.62,1.13,4.68,8.28,3.45,7.47,3.62,1.21,43.55,NEUTRAL,43.55,MATCH,Sutter Health Park,Sutter Health Park,Athletics,55.00,55.00,55.00,NEUTRAL,Neutral,MATCH
140,2026-05-13,2026,Royce Lewis,,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,823710,2026-05-13T23:40:00Z,Scheduled,Target Field,home,1,Max Meyer,Max Meyer,Max Meyer,676974,R,Max Meyer,676974,Simeon Woods Richardson,680573,650,BetMGM,13.33,39.80,missing,,,,,,,Minnesota Twins,Miami Marlins @ Minnesota Twins,"{""player"":""Royce Lewis"",""player_key"":""royce lewis"",""team"":""Minnesota Twins"",""team_key"":""minnesota twins"",""game"":""Miami Marlins @ Minnesota Twins"",""game_key"":""miami marlins @ minnesota twins"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""BetMGM"",""consensus_odds"":""595"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+650 | DraftKings:+600 | FanDuel:+590 | Caesars:+575"",""raw_books_seen"":""BetMGM:+650 | DraftKings:+600 | FanDuel:+590 | Caesars:+575 | BetMGM:+650"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Miami Marlins,probable,8,42.0,2.79,1.10,3.55,8.62,1.06,9.64,3.21,0.43,11.89,AVOID,11.89,MATCH,Target Field,Target Field,Minnesota Twins,50.00,50.00,50.00,NEUTRAL,Neutral,MATCH
141,2026-05-13,2026,Nolan Gorman,,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,825010,2026-05-14T01:40:00Z,Scheduled,Sutter Health Park,away,0,J.T. Ginn,J.T. Ginn,J.T. Ginn,669372,R,J.T. Ginn,669372,Matthew Liberatore,669461,650,BetMGM,13.33,39.80,missing,,,,,,,St. Louis Cardinals,St. Louis Cardinals @ Athletics,"{""player"":""Nolan Gorman"",""player_key"":""nolan gorman"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""St. Louis Cardinals @ Athletics"",""game_key"":""st louis cardinals @ athletics"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""BetMGM"",""consensus_odds"":""605"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+650 | DraftKings:+620 | FanDuel:+590 | Caesars:+575"",""raw_books_seen"":""BetMGM:+650 | DraftKings:+620 | FanDuel:+590 | Caesars:+575 | FanDuel:+440 | DraftKings:+424 | Caesars:+370 | BetMGM:+310 | BetMGM:+650"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Athletics,probable,6,37.3,3.62,1.13,4.68,8.28,3.45,7.47,3.62,1.21,43.55,NEUTRAL,43.55,MATCH,Sutter Health Park,Sutter Health Park,Athletics,55.00,55.00,55.00,NEUTRAL,Neutral,MATCH
142,2026-05-13,2026,Ryan McMahon,,New York Yankees,Baltimore Orioles,New York Yankees @ Baltimore Orioles,824841,2026-05-13T17:05:00Z,Scheduled,Oriole Park at Camden Yards,away,0,Kyle Bradish,Kyle Bradish,Kyle Bradish,680694,R,Kyle Bradish,680694,Max Fried,608331,650,DraftKings,13.33,39.80,missing,,,,,,,New York Yankees,New York Yankees @ Baltimore Orioles,"{""player"":""Ryan McMahon"",""player_key"":""ryan mcmahon"",""team"":""New York Yankees"",""team_key"":""new york yankees"",""game"":""New York Yankees @ Baltimore Orioles"",""game_key"":""new york yankees @ baltimore orioles"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""DraftKings"",""consensus_odds"":""630"",""trusted_books_count"":""3"",""trusted_books"":""DraftKings:+650 | FanDuel:+630 | Caesars:+575"",""raw_books_seen"":""DraftKings:+650 | FanDuel:+630 | Caesars:+575 | DraftKings:+650"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Baltimore Orioles,probable,8,41.0,4.83,1.66,5.04,8.80,6.19,9.88,4.83,1.10,73.13,ATTACK,73.13,MATCH,Camden Yards,Camden Yards,Baltimore Orioles,42.00,42.00,42.00,NEUTRAL,Slight HR suppressor,MATCH
143,2026-05-13,2026,Carter Jensen,,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,824603,2026-05-13T23:40:00Z,Scheduled,Rate Field,away,0,Noah Schultz,Noah Schultz,Noah Schultz,702273,L,Noah Schultz,702273,Seth Lugo,607625,650,DraftKings,13.33,39.80,missing,,,,,,,Kansas City Royals,Kansas City Royals @ Chicago White Sox,"{""player"":""Carter Jensen"",""player_key"":""carter jensen"",""team"":""Kansas City Royals"",""team_key"":""kansas city royals"",""game"":""Kansas City Royals @ Chicago White Sox"",""game_key"":""kansas city royals @ chicago white sox"",""market"":""HR"",""line"":""0.5"",""odds"":""650"",""book"":""DraftKings"",""consensus_odds"":""650"",""trusted_books_count"":""3"",""trusted_books"":""DraftKings:+650 | FanDuel:+650 | Caesars:+575"",""raw_books_seen"":""DraftKings:+650 | FanDuel:+650 | Caesars:+575"",""removed_outliers"":""0"",""odds_quality"":""NORMAL_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Chicago White Sox,probable,5,25.0,4.68,1.32,5.21,8.28,5.17,8.28,5.76,0.72,56.53,LIVE,56.53,MATCH,Rate Field,Rate Field,Chicago White Sox,62.00,62.00,62.00,BOOST,HR friendly,MATCH
144,2026-05-13,2026,Joey Wiemer,,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,824519,2026-05-13T22:40:00Z,Scheduled,Great American Ball Park,away,0,Nick Lodolo,Nick Lodolo,Nick Lodolo,666157,L,Nick Lodolo,666157,Jake Irvin,663623,640,DraftKings,13.51,39.72,missing,,,,,,,Washington Nationals,Washington Nationals @ Cincinnati Reds,"{""player"":""Joey Wiemer"",""player_key"":""joey wiemer"",""team"":""Washington Nationals"",""team_key"":""washington nationals"",""game"":""Washington Nationals @ Cincinnati Reds"",""game_key"":""washington nationals @ cincinnati reds"",""market"":""HR"",""line"":""0.5"",""odds"":""640"",""book"":""DraftKings"",""consensus_odds"":""535"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+640 | FanDuel:+570 | Caesars:+500 | BetMGM:+450"",""raw_books_seen"":""DraftKings:+640 | FanDuel:+570 | Caesars:+500 | BetMGM:+450 | DraftKings:+640"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Cincinnati Reds,probable,1,5.3,6.75,1.13,6.15,8.28,6.75,3.38,1.69,3.38,77.17,ATTACK,77.17,MATCH,Great American Ball Park,Great American Ball Park,Cincinnati Reds,78.00,78.00,78.00,POWER_BOOST,Major HR boost,MATCH
145,2026-05-13,2026,Willy Adames,,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,823952,2026-05-14T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,away,0,Shohei Ohtani,Shohei Ohtani,Shohei Ohtani,660271,R,Shohei Ohtani,660271,Robbie Ray,592662,640,DraftKings,13.51,39.72,missing,,,,,,,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,"{""player"":""Willy Adames"",""player_key"":""willy adames"",""team"":""San Francisco Giants"",""team_key"":""san francisco giants"",""game"":""San Francisco Giants @ Los Angeles Dodgers"",""game_key"":""san francisco giants @ los angeles dodgers"",""market"":""HR"",""line"":""0.5"",""odds"":""640"",""book"":""DraftKings"",""consensus_odds"":""578"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+640 | FanDuel:+630 | Caesars:+525 | BetMGM:+475"",""raw_books_seen"":""DraftKings:+640 | FanDuel:+630 | Caesars:+525 | BetMGM:+475 | DraftKings:+640"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Los Angeles Dodgers,probable,6,37.0,0.97,0.81,2.71,8.11,1.42,10.22,2.19,0.49,3.55,AVOID,3.55,MATCH,Dodger Stadium,Dodger Stadium,Los Angeles Dodgers,52.00,52.00,52.00,SLIGHT_BOOST,Slight HR boost,MATCH
146,2026-05-13,2026,Brice Turang,,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,home,1,Michael King,Michael King,Michael King,650633,R,Michael King,650633,Jacob Misiorowski,694819,630,FanDuel,13.70,39.64,missing,,,,,,,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,"{""player"":""Brice Turang"",""player_key"":""brice turang"",""team"":""Milwaukee Brewers"",""team_key"":""milwaukee brewers"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""630"",""book"":""FanDuel"",""consensus_odds"":""573"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+630 | DraftKings:+620 | Caesars:+525 | BetMGM:+525"",""raw_books_seen"":""BetMGM:+1200 | DraftKings:+1000 | Caesars:+950 | FanDuel:+920 | FanDuel:+630 | DraftKings:+620 | Caesars:+525 | BetMGM:+525 | BetMGM:+1200"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,San Diego Padres,probable,8,45.7,2.76,1.05,4.12,7.75,3.50,8.87,3.94,0.79,27.61,AVOID,27.61,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH
147,2026-05-13,2026,Colt Keith,,Detroit Tigers,New York Mets,Detroit Tigers @ New York Mets,823631,2026-05-13T23:10:00Z,Scheduled,Citi Field,away,0,Christian Scott,Christian Scott,Christian Scott,681035,R,Christian Scott,681035,Framber Valdez,664285,630,DraftKings,13.70,39.64,missing,,,,,,,Detroit Tigers,Detroit Tigers @ New York Mets,"{""player"":""Colt Keith"",""player_key"":""colt keith"",""team"":""Detroit Tigers"",""team_key"":""detroit tigers"",""game"":""Detroit Tigers @ New York Mets"",""game_key"":""detroit tigers @ new york mets"",""market"":""HR"",""line"":""0.5"",""odds"":""630"",""book"":""DraftKings"",""consensus_odds"":""618"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+630 | BetMGM:+625 | FanDuel:+610 | Caesars:+575"",""raw_books_seen"":""DraftKings:+630 | BetMGM:+625 | FanDuel:+610 | Caesars:+575 | DraftKings:+630"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,New York Mets,probable,3,11.0,3.27,1.18,3.95,8.39,3.27,12.27,5.73,0.82,34.58,AVOID,34.58,MATCH,Citi Field,Citi Field,New York Mets,43.00,43.00,43.00,NEUTRAL,Slight suppressor,MATCH
148,2026-05-13,2026,Coby Mayo,,Baltimore Orioles,New York Yankees,New York Yankees @ Baltimore Orioles,824841,2026-05-13T17:05:00Z,Scheduled,Oriole Park at Camden Yards,home,1,Max Fried,Max Fried,Max Fried,608331,L,Max Fried,608331,Kyle Bradish,680694,630,DraftKings,13.70,39.64,missing,,,,,,,Baltimore Orioles,New York Yankees @ Baltimore Orioles,"{""player"":""Coby Mayo"",""player_key"":""coby mayo"",""team"":""Baltimore Orioles"",""team_key"":""baltimore orioles"",""game"":""New York Yankees @ Baltimore Orioles"",""game_key"":""new york yankees @ baltimore orioles"",""market"":""HR"",""line"":""0.5"",""odds"":""630"",""book"":""DraftKings"",""consensus_odds"":""610"",""trusted_books_count"":""3"",""trusted_books"":""DraftKings:+630 | FanDuel:+610 | Caesars:+575"",""raw_books_seen"":""DraftKings:+630 | FanDuel:+610 | Caesars:+575 | DraftKings:+630"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,New York Yankees,probable,9,58.7,2.91,0.95,3.73,9.30,4.15,7.36,2.76,0.15,14.03,AVOID,14.03,MATCH,Camden Yards,Camden Yards,Baltimore Orioles,42.00,42.00,42.00,NEUTRAL,Slight HR suppressor,MATCH
149,2026-05-13,2026,Jesús Sánchez,,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,822815,2026-05-13T23:07:00Z,Scheduled,Rogers Centre,home,1,Griffin Jax,Griffin Jax,Griffin Jax,643377,R,Griffin Jax,643377,Dylan Cease,656302,610,DraftKings,14.08,39.46,missing,,,,,,,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,"{""player"":""Jesús Sánchez"",""player_key"":""jesus sanchez"",""team"":""Toronto Blue Jays"",""team_key"":""toronto blue jays"",""game"":""Tampa Bay Rays @ Toronto Blue Jays"",""game_key"":""tampa bay rays @ toronto blue jays"",""market"":""HR"",""line"":""0.5"",""odds"":""610"",""book"":""DraftKings"",""consensus_odds"":""548"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+610 | FanDuel:+570 | BetMGM:+525 | Caesars:+500"",""raw_books_seen"":""DraftKings:+610 | FanDuel:+570 | BetMGM:+525 | Caesars:+500 | DraftKings:+610"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Tampa Bay Rays,probable,3,18.0,5.00,1.44,5.39,6.98,2.00,8.50,5.00,1.50,67.84,LIVE,67.84,MATCH,Rogers Centre,Rogers Centre,Toronto Blue Jays,62.00,62.00,62.00,BOOST,Good HR park,MATCH
