rank,name,team,opponent,game,pitcher,odds,final_hr_score,decision_tier,temperature,wind_speed,wind_direction,weather_desc,venue,roof_status,vegas_total,temp_score,wind_score,park_score,vegas_score,raw_weather_boost,weather_environment_score,weather_environment_grade,note
10,Willi Castro,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,900,38.1,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
11,Troy Johnston,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,900,36.4,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
12,Ezequiel Tovar,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,980,33.6,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
13,Jake McCarthy,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,1200,32.9,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
14,Tyler Freeman,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies @ Pittsburgh Pirates,Mitch Keller,1560,30.3,PASS,58.6,5.8,240,clear sky,Coors Field,OPEN_AIR_OR_UNKNOWN,8,50,50,71.2,53,0,55.2,NEUTRAL,Neutral environment
15,Yordan Alvarez,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,285,54.1,PASS,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,9.3,54,52,54.1,57,0,53.7,SUPPRESS,Weather slightly suppresses power
16,Zach Cole,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,420,52.2,PASS,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,9.3,54,52,54.1,57,0,53.7,SUPPRESS,Weather slightly suppresses power
17,Christian Walker,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,350,49,PASS,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,9.3,54,52,54.1,57,0,53.7,SUPPRESS,Weather slightly suppresses power
18,Brice Matthews,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,520,42.8,PASS,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,9.3,54,52,54.1,57,0,53.7,SUPPRESS,Weather slightly suppresses power
19,Jose Altuve,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,537,40.1,PASS,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,9.3,54,52,54.1,57,0,53.7,SUPPRESS,Weather slightly suppresses power
20,Isaac Paredes,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,541,37.4,PASS,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,9.3,54,52,54.1,57,0,53.7,SUPPRESS,Weather slightly suppresses power
21,Cam Smith,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,910,36.3,PASS,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,9.3,54,52,54.1,57,0,53.7,SUPPRESS,Weather slightly suppresses power
22,Corey Seager,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,441,75.7,PLAYABLE,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,8,54,52,54.1,53,0,53,SUPPRESS,Weather slightly suppresses power
23,Jake Burger,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,470,64.4,WATCH,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,8,54,52,54.1,53,0,53,SUPPRESS,Weather slightly suppresses power
24,Brandon Nimmo,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,573,63.7,WATCH,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,8,54,52,54.1,53,0,53,SUPPRESS,Weather slightly suppresses power
25,Joc Pederson,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,590,61.9,WATCH,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,8,54,52,54.1,53,0,53,SUPPRESS,Weather slightly suppresses power
26,Josh Jung,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,550,60.7,WATCH,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,8,54,52,54.1,53,0,53,SUPPRESS,Weather slightly suppresses power
27,Evan Carter,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,770,57.9,PASS,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,8,54,52,54.1,53,0,53,SUPPRESS,Weather slightly suppresses power
28,Danny Jansen,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,620,52,PASS,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,8,54,52,54.1,53,0,53,SUPPRESS,Weather slightly suppresses power
29,Ezequiel Duran,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,930,44.3,PASS,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,8,54,52,54.1,53,0,53,SUPPRESS,Weather slightly suppresses power
30,Alejandro Osuna,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,1220,38.1,PASS,72.5,10.4,180,broken clouds,Daikin Park,OPEN_AIR_OR_UNKNOWN,8,54,52,54.1,53,0,53,SUPPRESS,Weather slightly suppresses power
31,Shea Langeliers,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,240,80.7,STRONG PLAY,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,9.8,50,50,52.3,57,1,52.8,SUPPRESS,Weather slightly suppresses power
32,Nick Kurtz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,333,79.8,STRONG PLAY,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,9.8,50,50,52.3,57,1,52.8,SUPPRESS,Weather slightly suppresses power
33,Brent Rooker,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,310,74.8,PLAYABLE,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,9.8,50,50,52.3,57,1,52.8,SUPPRESS,Weather slightly suppresses power
34,Tyler Soderstrom,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,475,70.9,VALUE BOMB,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,9.8,50,50,52.3,57,1,52.8,SUPPRESS,Weather slightly suppresses power
35,Zack Gelof,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,450,61.6,WATCH,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,9.8,50,50,52.3,57,1,52.8,SUPPRESS,Weather slightly suppresses power
36,Jeff McNeil,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,1200,50.6,PASS,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,9.8,50,50,52.3,57,1,52.8,SUPPRESS,Weather slightly suppresses power
37,Darell Hernaiz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,1000,42.2,PASS,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,9.8,50,50,52.3,57,1,52.8,SUPPRESS,Weather slightly suppresses power
38,Casey Schmitt,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,550,52.8,PASS,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,8.5,50,50,52.3,53,1,52,SUPPRESS,Weather slightly suppresses power
39,Heliot Ramos,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,575,51.4,PASS,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,8.5,50,50,52.3,53,1,52,SUPPRESS,Weather slightly suppresses power
40,Rafael Devers,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,525,48.3,PASS,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,8.5,50,50,52.3,53,1,52,SUPPRESS,Weather slightly suppresses power
41,Willy Adames,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,720,43.8,PASS,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,8.5,50,50,52.3,53,1,52,SUPPRESS,Weather slightly suppresses power
42,Matt Chapman,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,790,38.5,PASS,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,8.5,50,50,52.3,53,1,52,SUPPRESS,Weather slightly suppresses power
43,Harrison Bader,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,900,37,PASS,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,8.5,50,50,52.3,53,1,52,SUPPRESS,Weather slightly suppresses power
44,Jung Hoo Lee,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1080,31.6,PASS,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,8.5,50,50,52.3,53,1,52,SUPPRESS,Weather slightly suppresses power
45,Jesus Rodriguez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1220,30.9,PASS,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,8.5,50,50,52.3,53,1,52,SUPPRESS,Weather slightly suppresses power
46,Luis Arraez,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,Shohei Ohtani,1500,29.1,PASS,59.1,6.9,140,clear sky,Sutter Health Park,OPEN_AIR_OR_UNKNOWN,8.5,50,50,52.3,53,1,52,SUPPRESS,Weather slightly suppresses power
47,Munetaka Murakami,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,293,72.2,PLAYABLE,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,8.4,44,52,55.5,53,1,51.7,SUPPRESS,Weather slightly suppresses power
48,Jordan Walker,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,650,68.2,LOTTO ONLY,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,9.8,50,52,45.4,57,1,51.7,SUPPRESS,Weather slightly suppresses power
49,Colson Montgomery,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,350,62.9,WATCH,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,8.4,44,52,55.5,53,1,51.7,SUPPRESS,Weather slightly suppresses power
50,Miguel Vargas,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,550,60.4,WATCH,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,8.4,44,52,55.5,53,1,51.7,SUPPRESS,Weather slightly suppresses power
51,Alec Burleson,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,575,55.1,PASS,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,9.8,50,52,45.4,57,1,51.7,SUPPRESS,Weather slightly suppresses power
52,Nolan Gorman,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,650,54.7,PASS,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,9.8,50,52,45.4,57,1,51.7,SUPPRESS,Weather slightly suppresses power
53,Andrew Benintendi,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,650,53.5,PASS,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,8.4,44,52,55.5,53,1,51.7,SUPPRESS,Weather slightly suppresses power
54,Ivan Herrera,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,670,52.1,PASS,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,9.8,50,52,45.4,57,1,51.7,SUPPRESS,Weather slightly suppresses power
55,Pedro Pagés,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,760,46.7,PASS,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,9.8,50,52,45.4,57,1,51.7,SUPPRESS,Weather slightly suppresses power
56,Nathan Church,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,1000,42.5,PASS,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,9.8,50,52,45.4,57,1,51.7,SUPPRESS,Weather slightly suppresses power
57,Chase Meidroth,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,1200,33.6,PASS,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,8.4,44,52,55.5,53,1,51.7,SUPPRESS,Weather slightly suppresses power
58,Masyn Winn,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,1450,31.9,PASS,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,9.8,50,52,45.4,57,1,51.7,SUPPRESS,Weather slightly suppresses power
59,Victor Scott II,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,2200,30.8,PASS,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,9.8,50,52,45.4,57,1,51.7,SUPPRESS,Weather slightly suppresses power
60,Cal Raleigh,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,310,65.5,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
61,Colby Thomas,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,430,60,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
62,Cesar Prieto,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,J.T. Ginn,920,41,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.8,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
63,César Salazar,Houston Astros,Seattle Mariners,Seattle Mariners @ Houston Astros,Bryce Miller,750,38.6,PASS,0,0,0,,,OPEN_AIR_OR_UNKNOWN,9.3,50,50,50,57,0,51.3,SUPPRESS,Weather slightly suppresses power
64,Ian Happ,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,430,75.8,PLAYABLE,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,7.5,44,52,55.5,50,1,51.1,SUPPRESS,Weather slightly suppresses power
65,Moisés Ballesteros,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,610,69.7,WATCH,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,7.5,44,52,55.5,50,1,51.1,SUPPRESS,Weather slightly suppresses power
66,Seiya Suzuki,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,425,64,WATCH,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,7.5,44,52,55.5,50,1,51.1,SUPPRESS,Weather slightly suppresses power
67,Michael Busch,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,450,63.1,WATCH,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,7.5,44,52,55.5,50,1,51.1,SUPPRESS,Weather slightly suppresses power
68,Pete Crow-Armstrong,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,550,62.2,WATCH,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,7.5,44,52,55.5,50,1,51.1,SUPPRESS,Weather slightly suppresses power
69,Dansby Swanson,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,650,61.8,WATCH,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,7.5,44,52,55.5,50,1,51.1,SUPPRESS,Weather slightly suppresses power
70,Alex Bregman,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,576,59.2,WATCH,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,7.5,44,52,55.5,50,1,51.1,SUPPRESS,Weather slightly suppresses power
71,Carson Kelly,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,680,58.8,WATCH,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,7.5,44,52,55.5,50,1,51.1,SUPPRESS,Weather slightly suppresses power
72,Nico Hoerner,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,1280,38.7,PASS,55.9,9.2,170,overcast clouds,Rate Field,OPEN_AIR_OR_UNKNOWN,7.5,44,52,55.5,50,1,51.1,SUPPRESS,Weather slightly suppresses power
73,Bobby Witt Jr.,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,475,70.8,VALUE BOMB,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,8.4,50,52,45.4,53,1,51,SUPPRESS,Weather slightly suppresses power
74,Salvador Perez,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,430,60.3,WATCH,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,8.4,50,52,45.4,53,1,51,SUPPRESS,Weather slightly suppresses power
75,Carter Jensen,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,800,56.2,PASS,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,8.4,50,52,45.4,53,1,51,SUPPRESS,Weather slightly suppresses power
76,Vinnie Pasquantino,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,680,51.6,PASS,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,8.4,50,52,45.4,53,1,51,SUPPRESS,Weather slightly suppresses power
77,Maikel Garcia,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,725,51.3,PASS,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,8.4,50,52,45.4,53,1,51,SUPPRESS,Weather slightly suppresses power
78,Isaac Collins,Kansas City Royals,Chicago White Sox,Kansas City Royals @ Chicago White Sox,Noah Schultz,850,50.5,PASS,60.9,9.2,160,overcast clouds,Busch Stadium,OPEN_AIR_OR_UNKNOWN,8.4,50,52,45.4,53,1,51,SUPPRESS,Weather slightly suppresses power
79,Max Muncy,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,320,72.5,PLAYABLE,61.4,4,242,overcast clouds,Angel Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,51.4,53,0,50.8,SUPPRESS,Weather slightly suppresses power
80,Will Smith,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,420,61.6,WATCH,61.4,4,242,overcast clouds,Angel Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,51.4,53,0,50.8,SUPPRESS,Weather slightly suppresses power
81,Freddie Freeman,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,520,60.6,WATCH,61.4,4,242,overcast clouds,Angel Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,51.4,53,0,50.8,SUPPRESS,Weather slightly suppresses power
82,Andy Pages,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,490,56.9,PASS,61.4,4,242,overcast clouds,Angel Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,51.4,53,0,50.8,SUPPRESS,Weather slightly suppresses power
83,Teoscar Hernández,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,440,55.4,PASS,61.4,4,242,overcast clouds,Angel Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,51.4,53,0,50.8,SUPPRESS,Weather slightly suppresses power
84,Kyle Tucker,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,533,51.5,PASS,61.4,4,242,overcast clouds,Angel Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,51.4,53,0,50.8,SUPPRESS,Weather slightly suppresses power
85,Mookie Betts,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,Robbie Ray,390,50.9,PASS,61.4,4,242,overcast clouds,Angel Stadium,OPEN_AIR_OR_UNKNOWN,8.5,50,50,51.4,53,0,50.8,SUPPRESS,Weather slightly suppresses power
86,James Wood,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,362,89,SLIP LAB ELITE,53.4,15,320,broken clouds,Nationals Park,OPEN_AIR_OR_UNKNOWN,8.3,44,56,50.5,53,0,50.5,SUPPRESS,Weather slightly suppresses power
87,CJ Abrams,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,543,73.8,VALUE BOMB,53.4,15,320,broken clouds,Nationals Park,OPEN_AIR_OR_UNKNOWN,8.3,44,56,50.5,53,0,50.5,SUPPRESS,Weather slightly suppresses power
88,Joey Wiemer,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,610,69.3,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,8.3,50,50,50,53,0,50.5,SUPPRESS,Weather slightly suppresses power
89,Christopher Morel,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,520,64.2,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50,53,0,50.5,SUPPRESS,Weather slightly suppresses power
90,Brady House,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,680,63.3,LOTTO ONLY,53.4,15,320,broken clouds,Nationals Park,OPEN_AIR_OR_UNKNOWN,8.3,44,56,50.5,53,0,50.5,SUPPRESS,Weather slightly suppresses power
91,Heriberto Hernández,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,598,61.5,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50,53,0,50.5,SUPPRESS,Weather slightly suppresses power
92,Byron Buxton,Minnesota Twins,Miami Marlins,Miami Marlins @ Minnesota Twins,Max Meyer,330,58.5,WATCH,0,0,0,,,OPEN_AIR_OR_UNKNOWN,8.5,50,50,50,53,0,50.5,SUPPRESS,Weather slightly suppresses power
